project,location,date_detected,field_of_view
ABMI Ecosystem Health 2015,331-SW,2015-05-28T15:28:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-SW,2015-07-07T12:22:34Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-SW,2015-05-28T15:39:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,358-NE,2015-02-21T14:28:10Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,358-NE,2015-07-04T11:40:42Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,358-NW,2015-07-04T12:25:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,358-NW,2015-02-21T15:39:00Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,358-SE,2015-02-21T12:46:43Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,358-SW,2015-07-04T13:08:58Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,358-SW,2015-02-21T16:49:21Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,359-NE,2015-07-04T09:29:08Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,359-NE,2015-02-22T10:58:06Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,359-NW,2015-02-22T11:09:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,359-NW,2015-07-04T08:35:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,359-NW,2015-02-22T11:09:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,359-NW,2015-07-04T08:35:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,359-SE,2015-07-04T09:24:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,359-SE,2015-02-22T11:15:53Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,359-SW,2015-02-22T10:24:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,359-SW,2015-07-04T08:25:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,360-NE,2015-07-08T12:51:54Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,360-NE,2015-02-20T17:00:03Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,360-NW,2015-07-08T14:24:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,360-NW,2015-02-21T10:21:11Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,360-SE,2015-07-08T13:35:05Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,360-SE,2015-02-20T15:48:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,360-SW,2015-02-20T14:54:37Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,360-SW,2015-07-08T14:00:54Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,388-NE,2015-02-25T12:34:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,388-NE,2015-06-18T13:55:42Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,388-NW,2015-08-11T13:34:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,388-NW,2015-08-11T14:37:07Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,388-NW,2015-08-13T13:14:15Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,388-NW,2015-02-25T11:22:00Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,388-SE,2015-08-13T11:25:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,388-SE,2015-02-25T13:58:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,388-SW,2015-02-25T10:26:52Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,388-SW,2015-08-13T10:12:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,389-NE,2015-02-25T14:12:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,389-NE,2015-07-05T16:01:04Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,389-NW,2015-02-25T13:14:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,389-NW,2015-07-05T13:33:22Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,389-SE,2015-07-05T15:04:44Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,389-SE,2015-02-25T10:17:37Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,389-SW,2015-02-25T11:27:11Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,389-SW,2015-07-05T14:12:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,390-NE,2015-07-05T12:09:47Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,390-NE,2015-02-25T16:19:39Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,390-NW,2015-07-05T12:39:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,390-NW,2015-02-25T17:20:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,390-SE,2015-02-25T17:39:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,390-SE,2015-07-05T13:52:23Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,412-NE,2015-02-25T10:30:57Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,412-NE,2015-07-22T10:54:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,412-NW,2015-07-22T11:35:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,412-NW,2015-02-25T10:32:09Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,412-SE,2015-07-22T10:00:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,412-SE,2015-02-23T14:32:54Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,412-SW,2015-02-23T14:41:21Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,412-SW,2015-07-22T09:22:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,413-NE,2015-07-21T06:57:22Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,413-NE,2015-02-25T12:10:32Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,413-NW,2015-02-25T13:00:59Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,413-NW,2015-07-21T08:46:03Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,413-SE,2015-02-25T13:58:20Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,413-SE,2015-07-21T07:35:06Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,413-SW,2015-07-21T08:09:13Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,413-SW,2015-02-25T12:47:00Z,START - First Good Image in FOV
